Tweet_count,Username,Text,Created At,Retweets,Likes
67,Actu Foot,"🚨 OFFICIEL ! 𝗟𝗲 𝘁𝗶𝗿𝗮𝗴𝗲 𝗱𝘂 𝘁𝗼𝘂𝗿𝗻𝗼𝗶 𝗺𝗮𝘀𝗰𝘂𝗹𝗶𝗻 𝗲𝘁 𝗳𝗲́𝗺𝗶𝗻𝗶𝗻 𝗱𝗲 𝗹’𝗘𝗾𝘂𝗶𝗽𝗲 𝗱𝗲 𝗙𝗿𝗮𝗻𝗰𝗲 𝗽𝗼𝘂𝗿 𝗹𝗲𝘀 𝗝𝗢 𝟮𝟬𝟮𝟰 𝗱𝗲 𝗣𝗮𝗿𝗶𝘀 ! 🇫🇷🎖️

Thierry Henry, Hervé Renard : à vous de jouer. 🐓💪

Rendez-vous du 24 juillet au 9 août 2024 https://t.co/yVPnScy379",Wed Mar 20 20:15:17 +0000 2024,112,1274
68,Equipe de France ⭐⭐,"La 1ère liste de l’année 2024 est connue 📝

Les prochains matchs des Bleus :
🇨🇵🇩🇪 (samedi 23 à Lyon)
🇨🇵🇨🇱 (mardi 26 à Marseille)

#FiersdetreBleus https://t.co/bH6EYGxkF9",Thu Mar 14 13:08:31 +0000 2024,1132,5972
69,Rachel Keke,"Marion Le Pen aura beau dire ce qu’elle veut, la réalité c’est qu’elle ne veut pas de noir•e comme visage de la France.

De Black M en 2016 pour la commémoration de Verdun…

À Aya Nakamura en 2024 pour les Jeux Olympiques.

Sa seule boussole politique : le racisme. https://t.co/Yz2FV9uQXu",Tue Mar 12 10:20:57 +0000 2024,935,3314
70,France Rugby,"🇫🇷🏴󠁧󠁢󠁥󠁮󠁧󠁿 L'Angleterre s'impose ce soir à Pau et remporte le #SixNationsU20 2024. 
#FRAANG #FranceU20 #NeFaisonsXV https://t.co/heqaZXFkuO",Fri Mar 15 21:51:16 +0000 2024,31,247
71,air plus news,"✈️ Comme chaque année, le site spécialisé AirlineRatings établit son classement des meilleures compagnies au monde. Découvrez le palmarès 2024.

1- Qatar Airways
2- Korean Air
3- Cathay Pacific Airways
4- Air New Zealand
5- Emirates
6- Air France/KLM
7- All Nippon Airways
8- https://t.co/wUD6puYijq",Thu May 30 20:56:09 +0000 2024,73,452
72,Manon Aubry,"🔴 Nous avons la force de tout changer !

Découvrez le clip officiel de notre liste de la France insoumise Union populaire pour les élections européennes du 9 juin 2024. N'hésitez pas à le diffuser largement.

#Unionpopulaire https://t.co/ShtjKpSk4k",Thu May 30 16:14:32 +0000 2024,610,1321
73,Actu Foot,"🚨 OFFICIEL ! Nike dévoile les deux nouveaux maillots de la France pour l'Euro 2024 ! 🇫🇷🐓

Vous aimez ? 🤔 https://t.co/l5pF2Cc6Ty",Mon Mar 18 08:50:56 +0000 2024,481,6746
74,Actu Foot,"🚨 OFFICIEL ! La programmation des premiers matchs de l’Equipe de France en France pour la saison 2024/2025 !

▫️ 6 Septembre 2024 : 

FRANCE 🇫🇷 - 🇮🇹 ITALIE
🏟️ Parc des Princes (Paris)

▫️ 9 Septembre 2024 : 

FRANCE 🇫🇷 - 🇧🇪 BELGIQUE
🏟️ Groupama Stadium (Lyon)

▫️ 14 Novembre https://t.co/KquR3v9ycx",Fri Apr 26 08:56:12 +0000 2024,229,3410
75,Equipe de France ⭐⭐,"L'Equipe de France s'incline face à l'Allemagne dans ce premier match de 2024.

🔜 RDV mardi à Marseille contre le Chili 🇨🇱

#FRAALL | #FiersdetreBleus https://t.co/LEQurz2vQe",Sat Mar 23 21:51:24 +0000 2024,287,3061
76,Kultur,"La France termine à la 4ème position de l’#Eurovision2024 ! 🇫🇷 

Merci Slimane pour cette performance ✨ https://t.co/EhSGWokYGB",Sat May 11 22:50:38 +0000 2024,66,1413
77,.Francis LALANNE Officiel,".À la suite de l'attentat perpétré à #Moscou, il est impératif d'envisager l'annulation des #JO2024 prévus en France !

La persistance de ces #JO2024 malgré de telles menaces mettrait en jeu la responsabilité personnelle de @GDarmanin, @GabrielAttal et @EmmanuelMacron en cas de https://t.co/LLqySwnAmw",Sat Mar 23 09:09:10 +0000 2024,102,217
78,UEFA EURO 2024 🇫🇷,"L'arrivée des 𝐁𝐥𝐞𝐮𝐬 à 𝐂𝐥𝐚𝐢𝐫𝐞𝐟𝐨𝐧𝐭𝐚𝐢𝐧𝐞 📸✌

#EURO2024 | #GERFRA | #FRACHI https://t.co/UGXjCSEvQN",Mon Mar 18 12:10:26 +0000 2024,64,321
79,Actu Foot,"🚨 OFFICIEL ! La poule des Bleus pour l’Euro 2024 est désormais complète ! 

🇫🇷 FRANCE
🇳🇱 Pays Bas
🇦🇹 Autriche
🇵🇱 Pologne

Vous les voyez comment nos Bleus ? 💙🤍❤️ https://t.co/Nh3ZCFFxC1",Tue Mar 26 22:29:42 +0000 2024,556,10290
80,Rafael Sereti,"Le cynisme de Manon Aubry et de la France Insoumise en deux vidéos.
●""Franchement, moi, ces images à Rafah m'ont empêché de dormir la nuit dernière.  Elles me foutent la chair de poule."" 27 mai 2024
●Manon Aubry au Manifestival de LFI à Paris le 28 mai 2024 https://t.co/oqkePOeRml",Thu May 30 20:58:50 +0000 2024,89,121
81,Thomas Piketty,"En France, on a réussi à inventer la ségrégation scolaire absolue, le tout organisé et financé par la puissance publique, en toute bonne conscience, et au nom de la ""liberté d'enseignement"", comme il se doit
On s'y met quand pour changer les choses?
https://t.co/hXo3aj5ttj https://t.co/SOJZgMGS2N",Mon Mar 04 17:07:15 +0000 2024,1638,3344
82,Actu Foot,"🚨 𝗟’𝗔𝗟𝗟𝗘𝗠𝗔𝗚𝗡𝗘 𝗦’𝗜𝗠𝗣𝗢𝗦𝗘 𝟮 𝗕𝗨𝗧𝗦 𝗔̀ 𝟬 𝗔̀ 𝗟𝗬𝗢𝗡 𝗙𝗔𝗖𝗘 𝗔𝗨𝗫 𝗕𝗟𝗘𝗨𝗦 ! 🇩🇪

Quand l’Allemagne enchaîne 3 mauvais matchs, elle peut compter sur le match face à la France pour renaître. 😅

Première mitigée pour nos Bleus en 2024. 🇫🇷😐

Florian Wirtz https://t.co/UdAtue7bku",Sat Mar 23 21:53:56 +0000 2024,174,2547
83,Let's go Titouan ! 🇨🇵,🔴 France 🇫🇷 is officially already ready to win #Eurovision2024 https://t.co/ejlCFdDFN8,Sat May 04 16:05:56 +0000 2024,22,240
84,Paris 2024,"Florent Manaudou, premier porteur de la Flamme en France 🔥

Il fallait bien l'un de nos plus grands athlètes, Quadruple médaillé aux Jeux, pour être le premier à poser le pied sur le sol français avec la Flamme Olympique à la main. 
Rendez-vous au Vieux Port le 8 mai prochain https://t.co/4umVkuvgaK",Fri Apr 26 16:35:42 +0000 2024,163,735
85,EuroFoot,"🇫🇷✅ 𝐎𝐅𝐅𝐈𝐂𝐈𝐀𝐋 | Deschamps has announced his France squad for EURO 2024... 

Goalkeeper: Areola, Maignan, Samba. 

Defenders: Clauss, Koundé, T.Hernandez, F.Mendy, Pavard, Saliba, Konaté, Upamecano. 

Midfielders: Tchouameni, Kanté, Y.Fofana, Zaïre-Emery, Rabiot, https://t.co/XeaKrHxB1r",Thu May 16 18:32:31 +0000 2024,193,1897
